     #time         x         v
  156.1428   -0.7870    0.5787
  156.4049   -0.6101    0.7628
  156.6789   -0.3810    0.8994
  156.9650   -0.1117    0.9703
  157.2173    0.1340    0.9674
  157.4695    0.3712    0.9032
  157.7218    0.5849    0.7819
  157.9843    0.7678    0.6033
  158.2587    0.9025    0.3727
  158.5441    0.9709    0.1034
  158.7961    0.9661   -0.1419
  159.0480    0.9002   -0.3782
  159.3000    0.7775   -0.5907
  159.5628    0.5974   -0.7723
  159.8376    0.3654   -0.9054
  160.1225    0.0962   -0.9715
  160.3742   -0.1488   -0.9647
  160.6259   -0.3844   -0.8972
  160.8776   -0.5957   -0.7732
  161.1407   -0.7763   -0.5916
  161.4159   -0.9078   -0.3584
  161.6910   -0.9710   -0.0982
  161.9662   -0.9612    0.1693
  162.2414   -0.8790    0.4241
  162.5165   -0.7307    0.6469
  162.7917   -0.5275    0.8210
  163.0668   -0.2846    0.9334
  163.3420   -0.0203    0.9755
  163.6172    0.2455    0.9443
  163.8923    0.4928    0.8420
  164.1675    0.7031    0.6763
  164.4427    0.8604    0.4598
  164.7178    0.9529    0.2087
  164.9930    0.9738   -0.0581
  165.2682    0.9214   -0.3204
  165.5433    0.7996   -0.5587
  165.8185    0.6178   -0.7549
  166.0937    0.3894   -0.8943
  166.3807    0.1203   -0.9679
  166.6333   -0.1253   -0.9672
  166.8858   -0.3630   -0.9051
  167.1383   -0.5776   -0.7856
  167.4005   -0.7615   -0.6090
  167.6745   -0.8979   -0.3802
  167.9607   -0.9687   -0.1113
  168.2130   -0.9658    0.1341
  168.4653   -0.9017    0.3709
  168.7176   -0.7806    0.5843
  168.9802   -0.6022    0.7668
  169.2546   -0.3719    0.9012
  169.5402   -0.1030    0.9694
  169.7922    0.1420    0.9644
  170.0442    0.3780    0.8984
  170.2962    0.5900    0.7758
  170.5591    0.7714    0.5957
  170.8339    0.9041    0.3639
  171.1189    0.9699    0.0951
  171.3706    0.9631   -0.1495
  171.6223    0.8955   -0.3846
  171.8740    0.7715   -0.5955
  172.1372    0.5900   -0.7756
  172.4125    0.3570   -0.9067
  172.6878    0.0971   -0.9695
  172.9630   -0.1701   -0.9593
  173.2383   -0.4244   -0.8769
  173.5136   -0.6468   -0.7285
  173.7888   -0.8204   -0.5252
  174.0641   -0.9323   -0.2824
  174.3394   -0.9740   -0.0183
  174.6147   -0.9423    0.2471
  174.8899   -0.8396    0.4938
  175.1652   -0.6738    0.7034
  175.4405   -0.4573    0.8600
  175.7157   -0.2063    0.9519
  175.9910    0.0602    0.9720
  176.2663    0.3221    0.9190
  176.5415    0.5598    0.7968
  176.8168    0.7552    0.6146
  177.0921    0.8938    0.3861
  177.3790    0.9666    0.1174
  177.6315    0.9652   -0.1278
  177.8840    0.9027   -0.3649
  178.1365    0.7829   -0.5788
  178.3988    0.6060   -0.7620
  178.6730    0.3771   -0.8976
  178.9591    0.1085   -0.9674
  179.2113   -0.1364   -0.9638
  179.4636   -0.3727   -0.8992
  179.7159   -0.5853   -0.7776
  179.9786   -0.7671   -0.5989
  180.2533   -0.9008   -0.3683
  180.5386   -0.9681   -0.0998
  180.7906   -0.9624    0.1447
  181.0426   -0.8959    0.3800
  181.2945   -0.7729    0.5913
  181.5576   -0.5926    0.7719
  181.8327   -0.3606    0.9038
  182.1175   -0.0922    0.9686
  182.3691    0.1519    0.9610
  182.6208    0.3865    0.8928
  182.8725    0.5966    0.7684
  183.1359    0.7761    0.5865
  183.4113    0.9063    0.3533
  183.6868    0.9683    0.0934
  183.9623    0.9572   -0.1735
  184.2377    0.8739   -0.4272
  184.5132    0.7247   -0.6488
  184.7887    0.5210   -0.8214
  185.0641    0.2779   -0.9320
  185.3396    0.0139   -0.9724
  185.6151   -0.2511   -0.9395
  185.8905   -0.4971   -0.8357
  186.1660   -0.7057   -0.6689
  186.4415   -0.8610   -0.4517
  186.7169   -0.9514   -0.2005
  186.9924   -0.9701    0.0659
  187.2679   -0.9156    0.3272
  187.5433   -0.7920    0.5639
  187.8188   -0.6088    0.7580
  188.0943   -0.3797    0.8950
  188.3807   -0.1113    0.9657
  188.6331    0.1333    0.9628
  188.8855    0.3695    0.8990
